date,customer_name,customer_email_id,customer_ph_no,sku,territory,salesperson,quantity
2018-01-02,customer_05,customer_05@xyz.com,9407745885,sku_06,territory_05,salesperson_05,273
2018-01-03,customer_06,customer_06@xyz.com,9000647761,sku_13,territory_05,salesperson_05,210
2018-01-04,customer_04,customer_04@xyz.com,9531618987,sku_14,territory_03,salesperson_03,125
2018-01-04,customer_06,customer_06@xyz.com,9000647761,sku_04,territory_05,salesperson_05,267
2018-01-05,customer_08,customer_08@xyz.com,9093557265,sku_04,territory_04,salesperson_04,190
2018-01-05,customer_08,customer_08@xyz.com,9093557265,sku_01,territory_04,salesperson_04,127
2018-01-06,customer_01,customer_01@xyz.com,9319325824,sku_11,territory_03,salesperson_03,112
2018-01-07,customer_01,customer_01@xyz.com,9319325824,sku_02,territory_03,salesperson_03,201
2018-01-07,customer_06,customer_06@xyz.com,9000647761,sku_03,territory_05,salesperson_05,207
2018-01-07,customer_05,customer_05@xyz.com,9407745885,sku_02,territory_05,salesperson_05,249
2018-01-07,customer_05,customer_05@xyz.com,9407745885,sku_02,territory_05,salesperson_05,254
2018-01-07,customer_03,customer_03@xyz.com,9511823614,sku_12,territory_04,salesperson_04,188
2018-01-08,customer_04,customer_04@xyz.com,9531618987,sku_02,territory_03,salesperson_03,259
2018-01-08,customer_06,customer_06@xyz.com,9000647761,sku_09,territory_05,salesperson_05,217
2018-01-09,customer_05,customer_05@xyz.com,9407745885,sku_03,territory_05,salesperson_05,230
2018-01-10,customer_06,customer_06@xyz.com,9000647761,sku_05,territory_05,salesperson_05,146
2018-01-11,customer_07,customer_07@xyz.com,9060942756,sku_14,territory_02,salesperson_02,268
2018-01-11,customer_10,customer_10@xyz.com,9480425325,sku_15,territory_02,salesperson_02,284
2018-01-12,customer_09,customer_09@xyz.com,9885890533,sku_10,territory_03,salesperson_03,208
2018-01-12,customer_05,customer_05@xyz.com,9407745885,sku_04,territory_05,salesperson_05,247
2018-01-13,customer_07,customer_07@xyz.com,9060942756,sku_11,territory_02,salesperson_02,269
2018-01-13,customer_02,customer_02@xyz.com,9121273265,sku_13,territory_05,salesperson_05,159
